train_game,train_opponent,test_game,test_opponent,kld,test_coop_rate,optimal_coop_rate
stag-hunt,0.7,prisoners-dilemma,0.5,0.0,0.0,0.0
stag-hunt,0.9,prisoners-dilemma,0.5,0.0,0.0,0.0
prisoners-dilemma,0.1,prisoners-dilemma,0.7,0.0,0.0,0.0
prisoners-dilemma,0.3,prisoners-dilemma,0.7,0.0,0.0,0.0
prisoners-dilemma,0.5,prisoners-dilemma,0.7,0.0,0.0,0.0
prisoners-dilemma,0.9,prisoners-dilemma,0.7,0.0,0.0,0.0
hawk-dove,0.1,prisoners-dilemma,0.7,0.0,0.0,0.0
hawk-dove,0.3,prisoners-dilemma,0.7,0.0,0.0,0.0
hawk-dove,0.5,prisoners-dilemma,0.7,0.0,0.0,0.0
hawk-dove,0.7,prisoners-dilemma,0.7,23.025850925235286,1.0,0.0
hawk-dove,0.9,prisoners-dilemma,0.7,23.025850925235286,1.0,0.0
stag-hunt,0.1,prisoners-dilemma,0.7,23.025850925235286,1.0,0.0
stag-hunt,0.3,prisoners-dilemma,0.7,23.025850925235286,1.0,0.0
stag-hunt,0.5,prisoners-dilemma,0.7,10.370387498672775,0.48045,0.0
stag-hunt,0.7,prisoners-dilemma,0.7,0.0,0.0,0.0
stag-hunt,0.9,prisoners-dilemma,0.7,0.0,0.0,0.0
prisoners-dilemma,0.1,prisoners-dilemma,0.9,0.0,0.0,0.0
prisoners-dilemma,0.3,prisoners-dilemma,0.9,0.0,0.0,0.0
prisoners-dilemma,0.5,prisoners-dilemma,0.9,0.0,0.0,0.0
prisoners-dilemma,0.7,prisoners-dilemma,0.9,0.0,0.0,0.0
hawk-dove,0.1,prisoners-dilemma,0.9,0.0,0.0,0.0
hawk-dove,0.3,prisoners-dilemma,0.9,0.0,0.0,0.0
hawk-dove,0.5,prisoners-dilemma,0.9,0.0,0.0,0.0
hawk-dove,0.7,prisoners-dilemma,0.9,23.025850925235286,1.0,0.0
hawk-dove,0.9,prisoners-dilemma,0.9,23.025850925235286,1.0,0.0
stag-hunt,0.1,prisoners-dilemma,0.9,23.025850925235286,1.0,0.0
stag-hunt,0.3,prisoners-dilemma,0.9,23.025850925235286,1.0,0.0
stag-hunt,0.5,prisoners-dilemma,0.9,10.32679426948228,0.47855,0.0
stag-hunt,0.7,prisoners-dilemma,0.9,0.0,0.0,0.0
stag-hunt,0.9,prisoners-dilemma,0.9,0.0,0.0,0.0
prisoners-dilemma,0.1,hawk-dove,0.1,0.0,0.0,0.0
prisoners-dilemma,0.3,hawk-dove,0.1,0.0,0.0,0.0
prisoners-dilemma,0.5,hawk-dove,0.1,0.0,0.0,0.0
prisoners-dilemma,0.7,hawk-dove,0.1,0.0,0.0,0.0
prisoners-dilemma,0.9,hawk-dove,0.1,0.0,0.0,0.0
hawk-dove,0.3,hawk-dove,0.1,0.0,0.0,0.0
hawk-dove,0.5,hawk-dove,0.1,0.0,0.0,0.0
hawk-dove,0.7,hawk-dove,0.1,23.025850925235286,1.0,0.0
hawk-dove,0.9,hawk-dove,0.1,23.025850925235286,1.0,0.0
stag-hunt,0.1,hawk-dove,0.1,23.025850925235286,1.0,0.0
stag-hunt,0.3,hawk-dove,0.1,23.025850925235286,1.0,0.0
stag-hunt,0.5,hawk-dove,0.1,10.41973412055846,0.48260000000000003,0.0
stag-hunt,0.7,hawk-dove,0.1,0.0,0.0,0.0
stag-hunt,0.9,hawk-dove,0.1,0.0,0.0,0.0
prisoners-dilemma,0.1,hawk-dove,0.3,0.0,0.0,0.0
prisoners-dilemma,0.3,hawk-dove,0.3,0.0,0.0,0.0
prisoners-dilemma,0.5,hawk-dove,0.3,0.0,0.0,0.0
prisoners-dilemma,0.7,hawk-dove,0.3,0.0,0.0,0.0
prisoners-dilemma,0.9,hawk-dove,0.3,0.0,0.0,0.0
hawk-dove,0.1,hawk-dove,0.3,0.0,0.0,0.0
hawk-dove,0.5,hawk-dove,0.3,0.0,0.0,0.0
hawk-dove,0.7,hawk-dove,0.3,23.025850925235286,1.0,0.0
hawk-dove,0.9,hawk-dove,0.3,23.025850925235286,1.0,0.0
stag-hunt,0.1,hawk-dove,0.3,23.025850925235286,1.0,0.0
stag-hunt,0.3,hawk-dove,0.3,23.025850925235286,1.0,0.0
stag-hunt,0.5,hawk-dove,0.3,10.407108803760325,0.4820500000000001,0.0
stag-hunt,0.7,hawk-dove,0.3,0.0,0.0,0.0
stag-hunt,0.9,hawk-dove,0.3,0.0,0.0,0.0
prisoners-dilemma,0.1,hawk-dove,0.5,0.0,0.0,0.0
prisoners-dilemma,0.3,hawk-dove,0.5,0.0,0.0,0.0
prisoners-dilemma,0.5,hawk-dove,0.5,0.0,0.0,0.0
prisoners-dilemma,0.7,hawk-dove,0.5,0.0,0.0,0.0
prisoners-dilemma,0.9,hawk-dove,0.5,0.0,0.0,0.0
hawk-dove,0.1,hawk-dove,0.5,0.0,0.0,0.0
hawk-dove,0.3,hawk-dove,0.5,0.0,0.0,0.0
hawk-dove,0.7,hawk-dove,0.5,23.025850925235286,1.0,0.0
hawk-dove,0.9,hawk-dove,0.5,23.025850925235286,1.0,0.0
stag-hunt,0.1,hawk-dove,0.5,23.025850925235286,1.0,0.0
stag-hunt,0.3,hawk-dove,0.5,23.025850925235286,1.0,0.0
stag-hunt,0.5,hawk-dove,0.5,10.39218953683808,0.4814,0.0
stag-hunt,0.7,hawk-dove,0.5,0.0,0.0,0.0
stag-hunt,0.9,hawk-dove,0.5,0.0,0.0,0.0
prisoners-dilemma,0.1,hawk-dove,0.7,23.02585084249492,0.0,1.0
prisoners-dilemma,0.3,hawk-dove,0.7,23.02585084249492,0.0,1.0
prisoners-dilemma,0.5,hawk-dove,0.7,23.02585084249492,0.0,1.0
prisoners-dilemma,0.7,hawk-dove,0.7,23.02585084249492,0.0,1.0
prisoners-dilemma,0.9,hawk-dove,0.7,23.02585084249492,0.0,1.0
hawk-dove,0.1,hawk-dove,0.7,23.02585084249492,0.0,1.0
hawk-dove,0.3,hawk-dove,0.7,23.02585084249492,0.0,1.0
hawk-dove,0.5,hawk-dove,0.7,23.02585084249492,0.0,1.0
hawk-dove,0.9,hawk-dove,0.7,0.0,1.0,1.0
stag-hunt,0.1,hawk-dove,0.7,0.0,1.0,1.0
stag-hunt,0.3,hawk-dove,0.7,0.0,1.0,1.0
stag-hunt,0.5,hawk-dove,0.7,11.271853436586179,0.48040000000000005,1.0
stag-hunt,0.7,hawk-dove,0.7,23.02585084249492,0.0,1.0
stag-hunt,0.9,hawk-dove,0.7,23.02585084249492,0.0,1.0
prisoners-dilemma,0.1,hawk-dove,0.9,23.02585084249492,0.0,1.0
prisoners-dilemma,0.3,hawk-dove,0.9,23.02585084249492,0.0,1.0
prisoners-dilemma,0.5,hawk-dove,0.9,23.02585084249492,0.0,1.0
prisoners-dilemma,0.7,hawk-dove,0.9,23.02585084249492,0.0,1.0
prisoners-dilemma,0.9,hawk-dove,0.9,23.02585084249492,0.0,1.0
hawk-dove,0.1,hawk-dove,0.9,23.02585084249492,0.0,1.0
hawk-dove,0.3,hawk-dove,0.9,23.02585084249492,0.0,1.0
hawk-dove,0.5,hawk-dove,0.9,23.02585084249492,0.0,1.0
hawk-dove,0.7,hawk-dove,0.9,0.0,1.0,1.0
stag-hunt,0.1,hawk-dove,0.9,0.0,1.0,1.0
stag-hunt,0.3,hawk-dove,0.9,0.0006061195147504287,0.9999499999999999,1.0
stag-hunt,0.5,hawk-dove,0.9,11.320381282345004,0.47829999999999995,1.0
stag-hunt,0.7,hawk-dove,0.9,23.02585084249492,0.0,1.0
stag-hunt,0.9,hawk-dove,0.9,23.02585084249492,0.0,1.0
prisoners-dilemma,0.1,stag-hunt,0.1,6.907755275888875,0.0,0.999
prisoners-dilemma,0.3,stag-hunt,0.1,6.907755275888875,0.0,0.999
prisoners-dilemma,0.5,stag-hunt,0.1,6.907755275888875,0.0,0.999
prisoners-dilemma,0.7,stag-hunt,0.1,6.907755275888875,0.0,0.999
prisoners-dilemma,0.9,stag-hunt,0.1,6.907755275888875,0.0,0.999
hawk-dove,0.1,stag-hunt,0.1,6.907755275888875,0.0,0.999
hawk-dove,0.3,stag-hunt,0.1,6.907755275888875,0.0,0.999
hawk-dove,0.5,stag-hunt,0.1,6.907755275888875,0.0,0.999
hawk-dove,0.7,stag-hunt,0.1,0.0010004986216738314,1.0,0.999
hawk-dove,0.9,stag-hunt,0.1,0.0010004986216738314,1.0,0.999
stag-hunt,0.3,stag-hunt,0.1,0.0010004986216738314,1.0,0.999
stag-hunt,0.5,stag-hunt,0.1,2.883758105400623,0.48235,0.999
stag-hunt,0.7,stag-hunt,0.1,6.907755275888875,0.0,0.999
stag-hunt,0.9,stag-hunt,0.1,6.907755275888875,0.0,0.999
prisoners-dilemma,0.1,stag-hunt,0.3,6.907755275888875,0.0,0.999
prisoners-dilemma,0.3,stag-hunt,0.3,6.907755275888875,0.0,0.999
prisoners-dilemma,0.5,stag-hunt,0.3,6.907755275888875,0.0,0.999
prisoners-dilemma,0.7,stag-hunt,0.3,6.907755275888875,0.0,0.999
prisoners-dilemma,0.9,stag-hunt,0.3,6.907755275888875,0.0,0.999
hawk-dove,0.1,stag-hunt,0.3,6.907755275888875,0.0,0.999
hawk-dove,0.3,stag-hunt,0.3,6.907755275888875,0.0,0.999
hawk-dove,0.5,stag-hunt,0.3,6.907755275888875,0.0,0.999
hawk-dove,0.7,stag-hunt,0.3,0.0010004986216738314,1.0,0.999
hawk-dove,0.9,stag-hunt,0.3,0.0010004986216738314,1.0,0.999
stag-hunt,0.1,stag-hunt,0.3,0.0010004986216738314,1.0,0.999
stag-hunt,0.5,stag-hunt,0.3,2.888294251162448,0.4817,0.999
stag-hunt,0.7,stag-hunt,0.3,6.907755275888875,0.0,0.999
stag-hunt,0.9,stag-hunt,0.3,6.907755275888875,0.0,0.999
prisoners-dilemma,0.1,stag-hunt,0.5,0.7052197593892292,0.0,0.506
prisoners-dilemma,0.3,stag-hunt,0.5,0.7052197593892292,0.0,0.506
prisoners-dilemma,0.5,stag-hunt,0.5,0.7052197593892292,0.0,0.506
prisoners-dilemma,0.7,stag-hunt,0.5,0.7052197593892292,0.0,0.506
prisoners-dilemma,0.9,stag-hunt,0.5,0.7052197593892292,0.0,0.506
hawk-dove,0.1,stag-hunt,0.5,0.7052197593892292,0.0,0.506
hawk-dove,0.3,stag-hunt,0.5,0.7052197593892292,0.0,0.506
hawk-dove,0.5,stag-hunt,0.5,0.7052197593892292,0.0,0.506
hawk-dove,0.7,stag-hunt,0.5,0.6812186072944864,1.0,0.506
hawk-dove,0.9,stag-hunt,0.5,0.6812186072944864,1.0,0.506
stag-hunt,0.1,stag-hunt,0.5,0.6812186072944864,1.0,0.506
stag-hunt,0.3,stag-hunt,0.5,0.6812186072944864,1.0,0.506
stag-hunt,0.7,stag-hunt,0.5,0.7052197593892292,0.0,0.506
stag-hunt,0.9,stag-hunt,0.5,0.7052197593892292,0.0,0.506
prisoners-dilemma,0.1,stag-hunt,0.7,0.0,0.0,0.0
prisoners-dilemma,0.3,stag-hunt,0.7,0.0,0.0,0.0
prisoners-dilemma,0.5,stag-hunt,0.7,0.0,0.0,0.0
prisoners-dilemma,0.7,stag-hunt,0.7,0.0,0.0,0.0
prisoners-dilemma,0.9,stag-hunt,0.7,0.0,0.0,0.0
hawk-dove,0.1,stag-hunt,0.7,0.0,0.0,0.0
hawk-dove,0.3,stag-hunt,0.7,0.0,0.0,0.0
hawk-dove,0.5,stag-hunt,0.7,0.0,0.0,0.0
hawk-dove,0.7,stag-hunt,0.7,23.025850925235286,1.0,0.0
hawk-dove,0.9,stag-hunt,0.7,23.025850925235286,1.0,0.0
stag-hunt,0.1,stag-hunt,0.7,23.025850925235286,1.0,0.0
stag-hunt,0.3,stag-hunt,0.7,23.025850925235286,1.0,0.0
stag-hunt,0.5,stag-hunt,0.7,10.369240123128332,0.48040000000000005,0.0
stag-hunt,0.9,stag-hunt,0.7,0.0,0.0,0.0
prisoners-dilemma,0.1,stag-hunt,0.9,0.0,0.0,0.0
prisoners-dilemma,0.3,stag-hunt,0.9,0.0,0.0,0.0
prisoners-dilemma,0.5,stag-hunt,0.9,0.0,0.0,0.0
prisoners-dilemma,0.7,stag-hunt,0.9,0.0,0.0,0.0
prisoners-dilemma,0.9,stag-hunt,0.9,0.0,0.0,0.0
hawk-dove,0.1,stag-hunt,0.9,0.0,0.0,0.0
hawk-dove,0.3,stag-hunt,0.9,0.0,0.0,0.0
hawk-dove,0.5,stag-hunt,0.9,0.0,0.0,0.0
hawk-dove,0.7,stag-hunt,0.9,23.025850925235286,1.0,0.0
hawk-dove,0.9,stag-hunt,0.9,23.025850925235286,1.0,0.0
stag-hunt,0.1,stag-hunt,0.9,23.025850925235286,1.0,0.0
stag-hunt,0.3,stag-hunt,0.9,23.025850925235286,1.0,0.0
stag-hunt,0.5,stag-hunt,0.9,10.342853250015287,0.47924999999999995,0.0
stag-hunt,0.7,stag-hunt,0.9,0.0,0.0,0.0
